// Name|Description|Type(1 is basic POI, 2 is station)
// Features
Colossal Belt|A thick belt of massive asteroids surrounding the major gas giant.|1
Lost Asteroid Belt| It's around here somewhere.......|1
Majestic Shower|A wide, but slim belt of asteroids that contains shiny gems that glitter in the light.|1
Harmony Belt|A belt of asteroids where humanity first saw signs of extraplanetery life.|1
Warped Meteors|The asteroids in this belt look like they've been streched and warped like putty.|1
Northern Shower|Swinging by the pole of a local planet, you can see the meteors showers streak through the atmosphere even from space.|1
Slim Meteorite|A famous asteroid in the system, miles long but only a few feet wide.|1
Phantom Comets|You hear micro-meteors ding off the hull, but local radar shows nothing......spooky|1
Spires|Gas clouds that reach out and appear to grab at nothing, like giant fingers.|1
Clouds of Jortun|A massive gas cloud takes on various shapes as you look at it, extremly pretty.|1
Belts|A series of belts that cross the local gas giant like an atom's electrons.|1
// Mineable Asteroid belts
Mineable Asteroids|A large asteroid belt with potentially mineable elements.|1
Mineable Asteroids|A large asteroid belt with potentially mineable elements.|1
Mineable Asteroids|A large asteroid belt with potentially mineable elements.|1
Mineable Asteroids|A large asteroid belt with potentially mineable elements.|1
Mineable Asteroids|A large asteroid belt with potentially mineable elements.|1
// Planets
Blue Marble|A perfectly blue ocean planet, there are no obvious signs of life and you decide leave it alone.|1 
Gas Gaint|Pretty to look at but not much to do overall.|1
Gas Gaint|Pretty to look at but not much to do overall.|1
Gas Gaint|Pretty to look at but not much to do overall.|1
Gas Gaint|Pretty to look at but not much to do overall.|1
Gas Gaint|Pretty to look at but not much to do overall.|1
// Suns
Giant Star|An enormous red star, far beyond the scale of a earth's yellow one.|1
Binary System|A pair of orbiting stars, an intersting scientific anomaly.|1
Binary System|A pair of orbiting stars, an intersting scientific anomaly.|1
Trinary System|Three orbiting stars, almost entirely unheard of. You may be the first to ever see this.|1
Black Hole Star|A black hole and star orbit each other, a trail of plasma being drawn away|1
Red Giant|A huge red giant, most likely consuming many of the system's planets and features.|1
Red Giant|A huge red giant, most likely consuming many of the system's planets and features.|1
White Dwarf|A previously supernova'd white dwarf, tiny but fierce.|1
Brown Dwarf|To weak to go nova, too small to become a black hole.|1
Yellow Star|A medium size star, much like Earth's.|1
Yellow Star|A medium size star, much like Earth's.|1
Yellow Star|A medium size star, much like Earth's.|1
Yellow Star|A medium size star, much like Earth's.|1
Yellow Star|A medium size star, much like Earth's.|1
Yellow Star|A medium size star, much like Earth's.|1
Yellow Star|A medium size star, much like Earth's.|1
Yellow Star|A medium size star, much like Earth's.|1
Yellow Star|A medium size star, much like Earth's.|1
Yellow Star|A medium size star, much like Earth's.|1
Yellow Star|A medium size star, much like Earth's.|1
// Other
Black Hole|Previously theorized by Steven Hawking, now seen with your own two eyes.|1
Wormhhole|It keeps dumping out gas and other various things.|1
Slow Nova|The local star appears to be frozen mid-nova. Sensors give off weird readings.|1
Anomay|Sensors flare, your eyes don't work properly and you swear you can feel your teeth buzzing. Time to leave.|1
// Stations contain a 4th category that's a desc of the station type. basic, science, military, terminal, Religious, colony, corporate, wreck 
// TODO: Update the descriptions for stations
// Type 2 "Basic Station"
Canaan Station|The local station, good for a bite to eat and a little trading.|2|Basic
Nemo Station|The local station, good for a bite to eat and a little trading.|2|Basic
Illume Station|The local station, good for a bite to eat and a little trading.|2|Basic
Glory Station|The local station, good for a bite to eat and a little trading.|2|Basic
Phoenix Colony|The local station, good for a bite to eat and a little trading.|2|Basic
Saga Colony|The local station, good for a bite to eat and a little trading.|2|Basic
Aeris Station|The local station, good for a bite to eat and a little trading.|2|Basic
Lumina Station|The local station, good for a bite to eat and a little trading.|2|Basic
Legacy Station|The local station, good for a bite to eat and a little trading.|2|Basic
Epitome Station|The local station, good for a bite to eat and a little trading.|2|Basic
Lagrange Station|The local station, good for a bite to eat and a little trading.|2|Basic
Goddard Station| The local station, good for a bite to eat and a little trading.|2|Basic
Vestige Station| The local station, good for a bite to eat and a little trading.|2|Basic
// Type 2 "Science Station"
Terminus Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
Aeon Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
Erebus Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
Outlander Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
Atlas Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
Trivia Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
Shangris Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
Aether Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
Goddard Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
Newton Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
Heinlein Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
Prachett Station|A scientific research station, little in the way of trade goods but many interesting people to talk too.|2|Science
// Type 2 "Base"
Chrono Base|A former military base turned trading post.|2|Military
Shu Base|A former military base turned trading post.|2|Military
Rogue Base|A former military base turned trading post.|2|Military
Vanquish Base|A former military base turned trading post.|2|Military
Arcadia Base|A former military base turned trading post.|2|Military
Phantom Base|A former military base turned trading post.|2|Military
Marvel Base|A former military base turned trading post.|2|Military
Magi Base|A former military base turned trading post.|2|Military
// Type 2 "Terminal"
Artemis Terminal|A trade-hub station, lots of good, services, and people available.|2|Terminal
Mammoth Terminal|A trade-hub station, lots of good, services, and people available.|2|Terminal
Elyse Terminal|A trade-hub station, lots of good, services, and people available.|2|Terminal
Pioneer Terminal|A trade-hub station, lots of good, services, and people available.|2|Terminal
Frontier Terminal|A trade-hub station, lots of good, services, and people available.|2|Terminal
Nyx Terminal|A trade-hub station, lots of good, services, and people available.|2|Terminal
Frontier Terminal|A trade-hub station, lots of good, services, and people available.|2|Terminal
// Type 2 " Religious Colony"
Parable Colony|A Religious colony ship, orbited as a spacestation may years ago.|2|Religious
Halo Station|A Religious colony ship, orbited as a spacestation may years ago.|2|Religious
Revelation Station|A Religious colony ship, orbited as a spacestation may years ago.|2|Religious
Revelation Colony|A Religious colony ship, orbited as a spacestation may years ago.|2|Religious
// Type 2 "Colony"
